,alpha,m,max_matched_dist,num_trajectories
0,0.0,0.5,0.021361815754339153,57
1,0.0,0.51,0.02269692923898531,65
2,0.0,0.52,0.02269692923898531,67
3,0.0,0.53,0.02269692923898531,66
4,0.0,0.54,0.02269692923898531,71
5,0.0,0.55,0.02269692923898531,73
6,0.0,0.56,0.02269692923898531,65
7,0.0,0.57,0.02269692923898531,68
8,0.0,0.58,0.02269692923898531,69
9,0.0,0.59,0.02269692923898531,68
10,0.0,0.6,0.02269692923898531,66
11,0.0,0.61,0.02269692923898531,65
12,0.0,0.62,0.02269692923898531,62
13,0.0,0.63,0.022736163372398338,62
14,0.0,0.64,0.022736163372398338,65
15,0.0,0.65,0.022736163372398338,63
16,0.0,0.66,0.022736163372398338,62
17,0.0,0.67,0.022736163372398338,59
18,0.0,0.68,0.022736163372398338,53
19,0.0,0.69,0.022736163372398338,52
20,0.0,0.7,0.022736163372398338,54
21,0.0,0.71,0.022736163372398338,53
22,0.0,0.72,0.022736163372398394,50
23,0.0,0.73,0.022736163372398394,48
24,0.0,0.74,0.022736163372398394,46
25,0.0,0.75,0.022736163372398394,43
26,0.0,0.76,0.022736163372398394,43
27,0.0,0.77,0.02403204272363152,43
28,0.0,0.78,0.02403204272363152,42
29,0.0,0.79,0.02403204272363152,41
30,0.0,0.8,0.02403204272363152,44
31,0.0,0.81,0.02403204272363152,48
32,0.0,0.82,0.02403204272363152,50
33,0.0,0.83,0.02403204272363152,53
34,0.0,0.84,0.02403204272363152,53
35,0.0,0.85,0.02403204272363152,57
36,0.0,0.86,0.02403204272363152,58
37,0.0,0.87,0.02403204272363152,59
38,0.0,0.88,0.025367156208277702,63
39,0.0,0.89,0.025367156208277702,62
40,0.0,0.9,0.025367156208277702,64
41,0.0,0.91,0.025367156208277702,67
42,0.0,0.92,0.025367156208277702,68
43,0.0,0.93,0.025367156208277702,71
44,0.0,0.94,0.05080453295177684,75
45,0.0,0.95,0.05080453295177684,75
46,0.0,0.96,0.05080453295177684,78
47,0.0,0.97,0.05080453295177684,75
48,0.0,0.98,0.05075187665887373,82
49,0.0,0.99,0.06814312499425823,76
50,0.0,1.0,0.06814312499425823,72
51,0.1,0.5,0.02403204272363152,72
52,0.1,0.51,0.02403204272363152,65
53,0.1,0.52,0.02403204272363152,64
54,0.1,0.53,0.02403204272363152,64
55,0.1,0.54,0.02403204272363152,63
56,0.1,0.55,0.02403204272363152,61
57,0.1,0.56,0.02403204272363152,60
58,0.1,0.57,0.02403204272363152,59
59,0.1,0.58,0.02403204272363152,60
60,0.1,0.59,0.02403204272363152,63
61,0.1,0.6,0.02403204272363152,62
62,0.1,0.61,0.02403204272363152,59
63,0.1,0.62,0.02403204272363152,57
64,0.1,0.63,0.02403204272363152,53
65,0.1,0.64,0.02403204272363152,52
66,0.1,0.65,0.02403204272363152,48
67,0.1,0.66,0.02403204272363152,44
68,0.1,0.67,0.02403204272363152,39
69,0.1,0.68,0.02403204272363152,39
70,0.1,0.69,0.02403204272363152,40
71,0.1,0.7,0.02403204272363152,38
72,0.1,0.71,0.025367156208277702,36
73,0.1,0.72,0.025367156208277702,31
74,0.1,0.73,0.025367156208277702,29
75,0.1,0.74,0.025367156208277702,27
76,0.1,0.75,0.025367156208277702,27
77,0.1,0.76,0.025367156208277702,25
78,0.1,0.77,0.025367156208277702,24
79,0.1,0.78,0.025367156208277702,24
80,0.1,0.79,0.025367156208277702,20
81,0.1,0.8,0.025367156208277702,21
82,0.1,0.81,0.025367156208277702,21
83,0.1,0.82,0.025367156208277702,21
84,0.1,0.83,0.025367156208277702,20
85,0.1,0.84,0.025367156208277702,20
86,0.1,0.85,0.025367156208277702,20
87,0.1,0.86,0.025367156208277702,20
88,0.1,0.87,0.025367156208277702,20
89,0.1,0.88,0.025367156208277702,22
90,0.1,0.89,0.025367156208277702,23
91,0.1,0.9,0.025367156208277702,23
92,0.1,0.91,0.025367156208277702,25
93,0.1,0.92,0.025367156208277702,27
94,0.1,0.93,0.025367156208277702,30
95,0.1,0.94,0.05080453295177684,33
96,0.1,0.95,0.05080453295177684,37
97,0.1,0.96,0.052086539928254086,37
98,0.1,0.97,0.052086539928254086,40
99,0.1,0.98,0.052086539928254086,44
100,0.1,0.99,0.06814312499425823,37
101,0.1,1.0,0.06814312499425823,34
102,0.2,0.5,0.02403204272363152,60
103,0.2,0.51,0.02403204272363152,51
104,0.2,0.52,0.02403204272363152,50
105,0.2,0.53,0.02403204272363152,50
106,0.2,0.54,0.02403204272363152,49
107,0.2,0.55,0.02403204272363152,46
108,0.2,0.56,0.02403204272363152,45
109,0.2,0.57,0.02403204272363152,44
110,0.2,0.58,0.02403204272363152,43
111,0.2,0.59,0.02403204272363152,43
112,0.2,0.6,0.02403204272363152,42
113,0.2,0.61,0.02403204272363152,42
114,0.2,0.62,0.02403204272363152,43
115,0.2,0.63,0.02403204272363152,41
116,0.2,0.64,0.02403204272363152,40
117,0.2,0.65,0.02403204272363152,39
118,0.2,0.66,0.02403204272363152,37
119,0.2,0.67,0.02403204272363152,36
120,0.2,0.68,0.02403204272363152,32
121,0.2,0.69,0.02403204272363152,32
122,0.2,0.7,0.02403204272363152,32
123,0.2,0.71,0.025367156208277702,31
124,0.2,0.72,0.025367156208277702,29
125,0.2,0.73,0.025367156208277702,26
126,0.2,0.74,0.025367156208277702,24
127,0.2,0.75,0.025367156208277702,23
128,0.2,0.76,0.025367156208277702,20
129,0.2,0.77,0.025367156208277702,20
130,0.2,0.78,0.025367156208277702,20
131,0.2,0.79,0.025367156208277702,19
132,0.2,0.8,0.025367156208277702,19
133,0.2,0.81,0.025367156208277702,19
134,0.2,0.82,0.025367156208277702,19
135,0.2,0.83,0.025367156208277702,19
136,0.2,0.84,0.025367156208277702,19
137,0.2,0.85,0.025367156208277702,19
138,0.2,0.86,0.025367156208277702,19
139,0.2,0.87,0.025367156208277702,19
140,0.2,0.88,0.025367156208277702,20
141,0.2,0.89,0.025367156208277702,21
142,0.2,0.9,0.04005340453938584,21
143,0.2,0.91,0.04005340453938584,22
144,0.2,0.92,0.04005340453938584,23
145,0.2,0.93,0.04005340453938584,27
146,0.2,0.94,0.04005340453938584,28
147,0.2,0.95,0.05073431241655546,30
148,0.2,0.96,0.050751876658873755,31
149,0.2,0.97,0.052086539928254086,34
150,0.2,0.98,0.052086539928254086,40
151,0.2,0.99,0.06814312499425823,36
152,0.2,1.0,0.06814312499425823,22
153,0.30000000000000004,0.5,0.02403204272363152,54
154,0.30000000000000004,0.51,0.02403204272363152,50
155,0.30000000000000004,0.52,0.02403204272363152,50
156,0.30000000000000004,0.53,0.02403204272363152,50
157,0.30000000000000004,0.54,0.02403204272363152,50
158,0.30000000000000004,0.55,0.02403204272363152,47
159,0.30000000000000004,0.56,0.02403204272363152,44
160,0.30000000000000004,0.57,0.02403204272363152,44
161,0.30000000000000004,0.58,0.02403204272363152,43
162,0.30000000000000004,0.59,0.02403204272363152,43
163,0.30000000000000004,0.6,0.02403204272363152,41
164,0.30000000000000004,0.61,0.02403204272363152,39
165,0.30000000000000004,0.62,0.025367156208277702,41
166,0.30000000000000004,0.63,0.025367156208277702,36
167,0.30000000000000004,0.64,0.025367156208277702,37
168,0.30000000000000004,0.65,0.025367156208277702,35
169,0.30000000000000004,0.66,0.025367156208277702,35
170,0.30000000000000004,0.67,0.025367156208277702,35
171,0.30000000000000004,0.68,0.025367156208277702,33
172,0.30000000000000004,0.69,0.025367156208277702,31
173,0.30000000000000004,0.7,0.025367156208277702,30
174,0.30000000000000004,0.71,0.025367156208277702,28
175,0.30000000000000004,0.72,0.025367156208277702,24
176,0.30000000000000004,0.73,0.025367156208277702,23
177,0.30000000000000004,0.74,0.025367156208277702,21
178,0.30000000000000004,0.75,0.025367156208277702,23
179,0.30000000000000004,0.76,0.025367156208277702,20
180,0.30000000000000004,0.77,0.025367156208277702,20
181,0.30000000000000004,0.78,0.025367156208277702,20
182,0.30000000000000004,0.79,0.025367156208277702,19
183,0.30000000000000004,0.8,0.025367156208277702,19
184,0.30000000000000004,0.81,0.025367156208277702,19
185,0.30000000000000004,0.82,0.025367156208277702,19
186,0.30000000000000004,0.83,0.04005340453938584,19
187,0.30000000000000004,0.84,0.025367156208277702,19
188,0.30000000000000004,0.85,0.04005340453938584,18
189,0.30000000000000004,0.86,0.04005340453938584,18
190,0.30000000000000004,0.87,0.0814419225634179,18
191,0.30000000000000004,0.88,0.0814419225634179,19
192,0.30000000000000004,0.89,0.04005340453938584,20
193,0.30000000000000004,0.9,0.04005340453938584,21
194,0.30000000000000004,0.91,0.04005340453938584,21
195,0.30000000000000004,0.92,0.04005340453938584,22
196,0.30000000000000004,0.93,0.04005340453938584,24
197,0.30000000000000004,0.94,0.04005340453938584,25
198,0.30000000000000004,0.95,0.05073431241655546,30
199,0.30000000000000004,0.96,0.050751876658873755,30
200,0.30000000000000004,0.97,0.050751876658873755,31
201,0.30000000000000004,0.98,0.052086539928254114,30
202,0.30000000000000004,0.99,0.06814312499425823,24
203,0.30000000000000004,1.0,0.06814312499425823,18
204,0.4,0.5,0.02403204272363152,56
205,0.4,0.51,0.025367156208277702,51
206,0.4,0.52,0.025367156208277702,51
207,0.4,0.53,0.025367156208277702,50
208,0.4,0.54,0.025367156208277702,51
209,0.4,0.55,0.025367156208277702,48
210,0.4,0.56,0.025367156208277702,48
211,0.4,0.57,0.025367156208277702,47
212,0.4,0.58,0.025367156208277702,46
213,0.4,0.59,0.025367156208277702,45
214,0.4,0.6,0.025367156208277702,44
215,0.4,0.61,0.025367156208277702,41
216,0.4,0.62,0.025367156208277702,42
217,0.4,0.63,0.025367156208277702,37
218,0.4,0.64,0.025367156208277702,38
219,0.4,0.65,0.025367156208277702,36
220,0.4,0.66,0.025367156208277702,36
221,0.4,0.67,0.025367156208277702,35
222,0.4,0.68,0.025367156208277702,33
223,0.4,0.69,0.025367156208277702,32
224,0.4,0.7,0.025367156208277702,31
225,0.4,0.71,0.025367156208277702,29
226,0.4,0.72,0.025367156208277702,26
227,0.4,0.73,0.025367156208277702,24
228,0.4,0.74,0.025367156208277702,22
229,0.4,0.75,0.025367156208277702,23
230,0.4,0.76,0.025367156208277702,22
231,0.4,0.77,0.025367156208277702,22
232,0.4,0.78,0.025367156208277702,22
233,0.4,0.79,0.025367156208277702,21
234,0.4,0.8,0.025367156208277702,20
235,0.4,0.81,0.04141004651340673,20
236,0.4,0.82,0.04141004651340673,20
237,0.4,0.83,0.04141004651340673,19
238,0.4,0.84,0.0814419225634179,18
239,0.4,0.85,0.0814419225634179,18
240,0.4,0.86,0.0814419225634179,19
241,0.4,0.87,0.04141004651340673,20
242,0.4,0.88,0.0814419225634179,20
243,0.4,0.89,0.04141004651340673,25
244,0.4,0.9,0.04141004651340673,21
245,0.4,0.91,0.04141004651340673,21
246,0.4,0.92,0.04141004651340673,22
247,0.4,0.93,0.04141004651340673,23
248,0.4,0.94,0.04005340453938584,23
249,0.4,0.95,0.05075187665887367,25
250,0.4,0.96,0.050751876658873755,25
251,0.4,0.97,0.05206942590120156,26
252,0.4,0.98,0.052086539928254114,27
253,0.4,0.99,0.06814312499425823,19
254,0.4,1.0,0.06814312499425823,17
255,0.5,0.5,0.025367156208277702,50
256,0.5,0.51,0.025367156208277702,45
257,0.5,0.52,0.025367156208277702,44
258,0.5,0.53,0.025367156208277702,47
259,0.5,0.54,0.025367156208277702,45
260,0.5,0.55,0.025367156208277702,42
261,0.5,0.56,0.025367156208277702,40
262,0.5,0.57,0.025367156208277702,40
263,0.5,0.58,0.025367156208277702,42
264,0.5,0.59,0.025367156208277702,41
265,0.5,0.6,0.025367156208277702,39
266,0.5,0.61,0.025367156208277702,39
267,0.5,0.62,0.025367156208277702,36
268,0.5,0.63,0.025367156208277702,33
269,0.5,0.64,0.025367156208277702,34
270,0.5,0.65,0.025367156208277702,31
271,0.5,0.66,0.025367156208277702,29
272,0.5,0.67,0.025367156208277702,29
273,0.5,0.68,0.025367156208277702,27
274,0.5,0.69,0.025367156208277702,29
275,0.5,0.7,0.025367156208277702,28
276,0.5,0.71,0.025367156208277702,26
277,0.5,0.72,0.025367156208277702,25
278,0.5,0.73,0.025367156208277702,24
279,0.5,0.74,0.025367156208277702,24
280,0.5,0.75,0.025367156208277702,25
281,0.5,0.76,0.025367156208277702,22
282,0.5,0.77,0.025367156208277702,21
283,0.5,0.78,0.04141004651340673,22
284,0.5,0.79,0.04141004651340673,19
285,0.5,0.8,0.04141004651340673,18
286,0.5,0.81,0.04141004651340673,18
287,0.5,0.82,0.04141004651340673,19
288,0.5,0.83,0.04141004651340673,21
289,0.5,0.84,0.04141004651340673,24
290,0.5,0.85,0.04141004651340673,23
291,0.5,0.86,0.04141004651340673,23
292,0.5,0.87,0.04141004651340673,24
293,0.5,0.88,0.04141004651340673,25
294,0.5,0.89,0.04141004651340673,26
295,0.5,0.9,0.04141004651340673,25
296,0.5,0.91,0.04141004651340673,25
297,0.5,0.92,0.05075187665887373,24
298,0.5,0.93,0.05075187665887373,24
299,0.5,0.94,0.05075187665887373,23
300,0.5,0.95,0.05075187665887373,27
301,0.5,0.96,0.050751876658873755,27
302,0.5,0.97,0.06554305852407787,27
303,0.5,0.98,0.06554305852407787,25
304,0.5,0.99,0.06814312499425823,18
305,0.5,1.0,0.06814312499425823,17
306,0.6000000000000001,0.5,0.025367156208277702,45
307,0.6000000000000001,0.51,0.025367156208277702,40
308,0.6000000000000001,0.52,0.025367156208277702,40
309,0.6000000000000001,0.53,0.025367156208277702,40
310,0.6000000000000001,0.54,0.025367156208277702,39
311,0.6000000000000001,0.55,0.025367156208277702,38
312,0.6000000000000001,0.56,0.025367156208277702,36
313,0.6000000000000001,0.57,0.025367156208277702,36
314,0.6000000000000001,0.58,0.025367156208277702,33
315,0.6000000000000001,0.59,0.025367156208277702,32
316,0.6000000000000001,0.6,0.025367156208277702,31
317,0.6000000000000001,0.61,0.025367156208277702,33
318,0.6000000000000001,0.62,0.025367156208277702,31
319,0.6000000000000001,0.63,0.025367156208277702,29
320,0.6000000000000001,0.64,0.025367156208277702,28
321,0.6000000000000001,0.65,0.025367156208277702,27
322,0.6000000000000001,0.66,0.025367156208277702,25
323,0.6000000000000001,0.67,0.025367156208277702,26
324,0.6000000000000001,0.68,0.025367156208277702,25
325,0.6000000000000001,0.69,0.025367156208277702,25
326,0.6000000000000001,0.7,0.025367156208277702,24
327,0.6000000000000001,0.71,0.025367156208277702,23
328,0.6000000000000001,0.72,0.025367156208277702,23
329,0.6000000000000001,0.73,0.025367156208277702,23
330,0.6000000000000001,0.74,0.025367156208277702,23
331,0.6000000000000001,0.75,0.025367156208277702,24
332,0.6000000000000001,0.76,0.025367156208277702,20
333,0.6000000000000001,0.77,0.025367156208277702,21
334,0.6000000000000001,0.78,0.025367156208277702,23
335,0.6000000000000001,0.79,0.025367156208277702,22
336,0.6000000000000001,0.8,0.025367156208277702,21
337,0.6000000000000001,0.81,0.025367156208277702,23
338,0.6000000000000001,0.82,0.025367156208277702,23
339,0.6000000000000001,0.83,0.025367156208277702,23
340,0.6000000000000001,0.84,0.0814419225634179,26
341,0.6000000000000001,0.85,0.0814419225634179,25
342,0.6000000000000001,0.86,0.05075187665887373,26
343,0.6000000000000001,0.87,0.05075187665887373,28
344,0.6000000000000001,0.88,0.05075187665887373,28
345,0.6000000000000001,0.89,0.05075187665887373,28
346,0.6000000000000001,0.9,0.05075187665887373,26
347,0.6000000000000001,0.91,0.05075187665887373,26
348,0.6000000000000001,0.92,0.05075187665887373,26
349,0.6000000000000001,0.93,0.05075187665887373,24
350,0.6000000000000001,0.94,0.05075187665887373,22
351,0.6000000000000001,0.95,0.052682028456472206,25
352,0.6000000000000001,0.96,0.052682028456472206,24
353,0.6000000000000001,0.97,0.06554305852407787,25
354,0.6000000000000001,0.98,0.06554305852407787,24
355,0.6000000000000001,0.99,0.14419843729026016,17
356,0.6000000000000001,1.0,0.06814312499425823,18
357,0.7000000000000001,0.5,0.025367156208277702,48
358,0.7000000000000001,0.51,0.04813820127455259,39
359,0.7000000000000001,0.52,0.04813820127455259,38
360,0.7000000000000001,0.53,0.04813820127455259,38
361,0.7000000000000001,0.54,0.0814419225634179,34
362,0.7000000000000001,0.55,0.0814419225634179,34
363,0.7000000000000001,0.56,0.04813820127455259,35
364,0.7000000000000001,0.57,0.04813820127455259,30
365,0.7000000000000001,0.58,0.04813820127455259,30
366,0.7000000000000001,0.59,0.04813820127455259,29
367,0.7000000000000001,0.6,0.04813820127455259,31
368,0.7000000000000001,0.61,0.04813820127455259,35
369,0.7000000000000001,0.62,0.04813820127455259,34
370,0.7000000000000001,0.63,0.04813820127455259,33
371,0.7000000000000001,0.64,0.025367156208277702,31
372,0.7000000000000001,0.65,0.025367156208277702,30
373,0.7000000000000001,0.66,0.025367156208277702,28
374,0.7000000000000001,0.67,0.025367156208277702,28
375,0.7000000000000001,0.68,0.025367156208277702,28
376,0.7000000000000001,0.69,0.025367156208277702,28
377,0.7000000000000001,0.7,0.025367156208277702,26
378,0.7000000000000001,0.71,0.025367156208277702,25
379,0.7000000000000001,0.72,0.025367156208277702,23
380,0.7000000000000001,0.73,0.025367156208277702,24
381,0.7000000000000001,0.74,0.025367156208277702,25
382,0.7000000000000001,0.75,0.025367156208277702,24
383,0.7000000000000001,0.76,0.025367156208277702,22
384,0.7000000000000001,0.77,0.025367156208277702,23
385,0.7000000000000001,0.78,0.025367156208277702,24
386,0.7000000000000001,0.79,0.025367156208277702,22
387,0.7000000000000001,0.8,0.025367156208277702,23
388,0.7000000000000001,0.81,0.025367156208277702,26
389,0.7000000000000001,0.82,0.025367156208277702,25
390,0.7000000000000001,0.83,0.025367156208277702,25
391,0.7000000000000001,0.84,0.0814419225634179,26
392,0.7000000000000001,0.85,0.05075187665887373,29
393,0.7000000000000001,0.86,0.05075187665887373,28
394,0.7000000000000001,0.87,0.050751876658873755,30
395,0.7000000000000001,0.88,0.050751876658873755,31
396,0.7000000000000001,0.89,0.0814419225634179,29
397,0.7000000000000001,0.9,0.050751876658873755,29
398,0.7000000000000001,0.91,0.050751876658873755,30
399,0.7000000000000001,0.92,0.050751876658873755,28
400,0.7000000000000001,0.93,0.05075187665887378,28
401,0.7000000000000001,0.94,0.0814419225634179,27
402,0.7000000000000001,0.95,0.052682028456472206,25
403,0.7000000000000001,0.96,0.052682028456472206,25
404,0.7000000000000001,0.97,0.14419843729026016,25
405,0.7000000000000001,0.98,0.14419843729026016,23
406,0.7000000000000001,0.99,0.06814312499425823,17
407,0.7000000000000001,1.0,0.06814312499425823,18
408,0.8,0.5,0.04941723771247464,49
409,0.8,0.51,0.04941723771247464,38
410,0.8,0.52,0.04941723771247464,36
411,0.8,0.53,0.04947131458918266,36
412,0.8,0.54,0.0814419225634179,33
413,0.8,0.55,0.0814419225634179,35
414,0.8,0.56,0.0814419225634179,35
415,0.8,0.57,0.04947131458918266,36
416,0.8,0.58,0.04947131458918266,34
417,0.8,0.59,0.0814419225634179,34
418,0.8,0.6,0.04947131458918266,35
419,0.8,0.61,0.04947131458918266,37
420,0.8,0.62,0.04947131458918266,36
421,0.8,0.63,0.05075187665887373,34
422,0.8,0.64,0.04947131458918266,37
423,0.8,0.65,0.04947131458918266,35
424,0.8,0.66,0.04813820127455259,30
425,0.8,0.67,0.04813820127455259,31
426,0.8,0.68,0.04813820127455259,32
427,0.8,0.69,0.04813820127455259,31
428,0.8,0.7,0.05075187665887373,31
429,0.8,0.71,0.05075187665887373,29
430,0.8,0.72,0.05075187665887373,28
431,0.8,0.73,0.05075187665887373,28
432,0.8,0.74,0.05075187665887373,30
433,0.8,0.75,0.05075187665887373,30
434,0.8,0.76,0.05213784830378272,28
435,0.8,0.77,0.05213784830378272,28
436,0.8,0.78,0.05075187665887373,26
437,0.8,0.79,0.052086539928254086,26
438,0.8,0.8,0.052086539928254114,31
439,0.8,0.81,0.052086539928254086,31
440,0.8,0.82,0.052086539928254086,29
441,0.8,0.83,0.050751876658873755,28
442,0.8,0.84,0.0814419225634179,27
443,0.8,0.85,0.05075187665887373,29
444,0.8,0.86,0.050751876658873755,27
445,0.8,0.87,0.050751876658873755,30
446,0.8,0.88,0.050751876658873755,30
447,0.8,0.89,0.050751876658873755,31
448,0.8,0.9,0.050751876658873755,26
449,0.8,0.91,0.0814419225634179,29
450,0.8,0.92,0.0814419225634179,29
451,0.8,0.93,0.0814419225634179,28
452,0.8,0.94,0.050751876658873755,28
453,0.8,0.95,0.0814419225634179,25
454,0.8,0.96,0.14419843729026016,25
455,0.8,0.97,0.14419843729026016,23
456,0.8,0.98,0.06814312499425823,23
457,0.8,0.99,0.06814312499425823,17
458,0.8,1.0,0.06814312499425823,18
459,0.9,0.5,0.04941723771247464,45
460,0.9,0.51,0.04947131458918266,42
461,0.9,0.52,0.04947131458918266,43
462,0.9,0.53,0.04947131458918266,42
463,0.9,0.54,0.0814419225634179,42
464,0.9,0.55,0.0814419225634179,42
465,0.9,0.56,0.0814419225634179,40
466,0.9,0.57,0.04947131458918266,41
467,0.9,0.58,0.04947131458918266,40
468,0.9,0.59,0.0814419225634179,39
469,0.9,0.6,0.052086539928254114,41
470,0.9,0.61,0.0814419225634179,39
471,0.9,0.62,0.0814419225634179,37
472,0.9,0.63,0.052086539928254114,37
473,0.9,0.64,0.052086539928254114,37
474,0.9,0.65,0.052086539928254114,37
475,0.9,0.66,0.052086539928254114,38
476,0.9,0.67,0.05080453295177689,38
477,0.9,0.68,0.05080453295177689,35
478,0.9,0.69,0.05080453295177689,37
479,0.9,0.7,0.05080453295177689,42
480,0.9,0.71,0.05080453295177689,36
481,0.9,0.72,0.052086539928254114,34
482,0.9,0.73,0.05213784830378272,34
483,0.9,0.74,0.05213784830378272,36
484,0.9,0.75,0.05213784830378272,36
485,0.9,0.76,0.05213784830378272,32
486,0.9,0.77,0.05213784830378272,33
487,0.9,0.78,0.052086539928254114,32
488,0.9,0.79,0.052086539928254114,34
489,0.9,0.8,0.052086539928254114,35
490,0.9,0.81,0.052086539928254086,35
491,0.9,0.82,0.052086539928254086,31
492,0.9,0.83,0.052086539928254086,36
493,0.9,0.84,0.0814419225634179,34
494,0.9,0.85,0.050751876658873755,33
495,0.9,0.86,0.050751876658873755,31
496,0.9,0.87,0.050751876658873755,32
497,0.9,0.88,0.050751876658873755,34
498,0.9,0.89,0.0814419225634179,35
499,0.9,0.9,0.050751876658873755,29
500,0.9,0.91,0.050751876658873755,28
501,0.9,0.92,0.0814419225634179,29
502,0.9,0.93,0.06814312499425823,28
503,0.9,0.94,0.0814419225634179,28
504,0.9,0.95,0.06814312499425823,29
505,0.9,0.96,0.14419843729026016,28
506,0.9,0.97,0.06814312499425823,26
507,0.9,0.98,0.12283769642468857,24
508,0.9,0.99,0.06814312499425823,18
509,0.9,1.0,0.06814312499425823,18
510,1.0,0.5,0.08949244873094205,83
511,1.0,0.51,0.08949244873094205,73
512,1.0,0.52,0.14419843729026016,75
513,1.0,0.53,0.052086539928254114,86
514,1.0,0.54,0.05208653992825406,68
515,1.0,0.55,0.05208653992825406,63
516,1.0,0.56,0.09346747996361623,63
517,1.0,0.57,0.09346747996361623,65
518,1.0,0.58,0.09345794392523366,60
519,1.0,0.59,0.09345794392523366,61
520,1.0,0.6,0.09345794392523366,67
521,1.0,0.61,0.09480245915127763,63
522,1.0,0.62,0.09480245915127763,70
523,1.0,0.63,0.09480245915127763,61
524,1.0,0.64,0.09480245915127763,64
525,1.0,0.65,0.09616525022894051,62
526,1.0,0.66,0.09494337355172774,64
527,1.0,0.67,0.09616525022894051,66
528,1.0,0.68,0.09616525022894051,74
529,1.0,0.69,0.23499514455211526,67
530,1.0,0.7,0.30576722271291823,70
531,1.0,0.71,0.16560251670721057,62
532,1.0,0.72,0.30576722271291823,71
533,1.0,0.73,0.16560251670721057,65
534,1.0,0.74,0.16560251670721057,63
535,1.0,0.75,0.10421584911554892,62
536,1.0,0.76,0.16974853576078816,59
537,1.0,0.77,0.16974853576078816,61
538,1.0,0.78,0.2363490279081217,60
539,1.0,0.79,0.2363490279081217,61
540,1.0,0.8,0.30842277416076186,65
541,1.0,0.81,0.30842277416076186,58
542,1.0,0.82,0.30842277416076186,60
543,1.0,0.83,0.30842277416076186,59
544,1.0,0.84,0.30842277416076186,59
545,1.0,0.85,0.30842277416076186,53
546,1.0,0.86,0.35119829669330516,53
547,1.0,0.87,0.30842277416076186,55
548,1.0,0.88,0.35119829669330516,54
549,1.0,0.89,0.2777838284042036,49
550,1.0,0.9,0.2790898184344688,51
551,1.0,0.91,0.2790898184344688,50
552,1.0,0.92,0.2790898184344688,52
553,1.0,0.93,0.2790898184344688,50
554,1.0,0.94,0.20567682148626665,49
555,1.0,0.95,0.20567682148626665,49
556,1.0,0.96,0.20567682148626665,49
557,1.0,0.97,0.20567682148626665,44
558,1.0,0.98,0.33512412283179954,36
559,1.0,0.99,0.33512412283179954,29
560,1.0,1.0,0.4219486708764484,30
